HSB_1_250	Lampa, běłu swěcu, prošu.
HSB_1_251	Lampa, sto procentow.
HSB_1_252	Lampa, pjećapjećdźesat procentow.
HSB_1_253	Lampa, dźewjećdźesat procentow.
HSB_1_254	Lampa, wosomdźesać procentow, prošu.
HSB_1_255	Zymnu běłu lampu, prošu.
HSB_1_256	Prošu, zaswěć swěcu.
HSB_1_257	Lampa, pjećadwacci procentow.
HSB_1_258	Swěca, pjećadwacci procentow, prošu.
HSB_1_259	Swěca, pjećapołsta procentow, prošu.
HSB_1_260	Swěca, ćopło-běłu lampu, prošu.
HSB_1_261	Lampa, pjećadźewjećdźesać procentow, prošu.
HSB_1_262	Swěca, pjatnać procentow, prošu.
HSB_1_263	Lampa, daj pjećatřiceći procentow.
HSB_1_264	Swěca, sydomdźesat procentow, prošu.
HSB_1_265	Swěca, połsta procentow, prošu.
HSB_1_266	Swěca, pjećatřicći procentow, prošu.
HSB_1_267	Swěca, wosomdźesat procentow.
HSB_1_268	Swěca, čerwjenu barbu, prošu.
HSB_1_269	Swěca, sym hotowy z čitanjom.
HSB_1_270	Lampa, budź tak swětła kaž słónco.
HSB_1_271	Lampa, pjećaštyrceći procentow, prošu.
HSB_1_272	Chłódno-běłu swěcu, prošu.
HSB_1_273	Lampa, zymnu běłu swěcu, prošu.
HSB_1_274	Lampa, pjećapołsta procentow, prošu.
HSB_1_275	Swěca, zymno-běłu barbu, prošu.
HSB_1_276	Swěca, běłu swěcu, prošu.
HSB_1_277	Prošu, luba swěca, zaswěć so.
HSB_1_278	Swěca, daj wosomdźesat procentow.
HSB_1_279	Swěca, sydomdźesat procentow.
HSB_1_280	Swěca, chcu rady čitać.
HSB_1_281	Chłódno-běłu swěcu, prošu.
HSB_1_282	Lampa, daj pjećdźesać procentow.
HSB_1_283	Lampa, chłódno-běłu barbu, prošu.
HSB_1_284	Lampa, třiceći procentow.
HSB_1_285	Lampa, štyrcći procentow, prošu.
HSB_1_286	Swěca, budź tak swětła kaž móžno.
HSB_1_287	Lampa, šěsćdźesat procentow, prošu.
HSB_1_288	Lampa zaswěć so nětko.
HSB_1_289	Swěca, pjećaštyrcći procentow.
HSB_1_290	Lampa, štyrceći procentow.
HSB_1_291	Swěca, přitulnu swěcu.
HSB_1_292	Lampa, daj pjećatřicci procentow.
HSB_1_293	Lampa, daj połsta procentow.
HSB_1_294	Módru swěcu, prošu.
HSB_1_295	Prošu, luba lampa, zaswěć so.
